#curie_map:
#  MESH: http://id.nlm.nih.gov/mesh/
#  CL: http://purl.obolibrary.org/obo/CL_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  GO: http://purl.obolibrary.org/obo/GO_
#  OBA: http://purl.obolibrary.org/obo/OBA_
#  skos: http://www.w3.org/2004/02/skos/core
#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_provider: https://www.ebi.ac.uk
#mapping_set_group: obo_mesh_mappings
#mapping_set_id: obo_mesh
#mapping_set_title: 'OBO Ontology Mappings to MeSH'
#object_source: https://nlmpubs.nlm.nih.gov/projects/mesh/rdf/mesh.nt.gz
#subject_source: http://purl.obolibrary.org/obo/cl.owl
#subject_source: http://purl.obolibrary.org/obo/uberon.owl
#subject_source: http://purl.obolibrary.org/obo/go.owl
#subject_source: http://purl.obolibrary.org/obo/oba.owl
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	object_source	confidence	mapping_date	author_id	object_uri
CL:0000322	pulmonary alveolar epithelial cell	skos:exactMatch	M0529227	Alveolar Epithelial Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0529227
CL:0000351	trophoblast cell	skos:exactMatch	M0022032	Trophoblasts	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0022032
CL:0000390	blood cell (sensu Nematoda and Protostomia)	skos:exactMatch	M0010101	Hemocytes	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0010101
CL:0000437	gonadtroph	skos:exactMatch	M0488566	Gonadotrophs	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0488566
CL:0000440	melanocyte stimulating hormone secreting cell	skos:exactMatch	M0488969	Melanotrophs	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0488969
CL:0000442	follicular dendritic cell	skos:exactMatch	M0328454	Dendritic Cells, Follicular	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0328454
CL:0000451	dendritic cell	skos:exactMatch	M0005828	Dendritic Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0005828
CL:0000453	Langerhans cell	skos:exactMatch	M0012200	Langerhans Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0012200
CL:0000476	thyrotroph	skos:exactMatch	M0488577	Thyrotrophs	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0488577
CL:0000501	granulosa cell	skos:exactMatch	M0009617	Granulosa Cells	semapv:ManualMappingCuration	CL	MeSH	1	2025-03-26	orcid:0000-0001-8314-2140	http://id.nlm.nih.gov/mesh/M0009617
